Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Internship_binary
I am continuing my education,2,Government,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Chemistry,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Architecture,Female,School of Architecture,1,1
Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Education - Reading Education,Female,School of Education and Human Development,1,0
Working,1,Chemistry,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Architecture - Urban & Environmental Planning,Male,School of Architecture,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Psychology,Male,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,1,Statistics,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Psychology,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Architecture,Female,School of Architecture,1,1
I am continuing my education,0,Education - Speech Communication Disorders,Female,School of Education and Human Development,0,0
Working,3,History,Male,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Biology,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Political & Social Thought - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,0,Biochemistry & Molecular Genetics,Female,School of Medicine,0,0
I will be volunteering,1,Philosophy,Male,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,1,Education - Youth & Social Innovation,Female,School of Education and Human Development,0,1
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,History,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Undeclared,Male,College and Graduate School of Arts & Sciences,0,1
I have accepted a fellowship,1,English,Male,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,1,History,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Computer Science,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Computer Science,Male,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Computer Science,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,2,Global Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
Working,1,Education - Kinesiology,Male,School of Education and Human Development,1,1
Working,1,Cognitive Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Sociology,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Nursing,Female,School of Nursing,1,1
Working,3,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
I am continuing my education,2,Physics,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Psychology,Male,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Economics,Male,College and Graduate School of Arts & Sciences,1,0
I am continuing my education,1,Education - Kinesiology,Female,School of Education and Human Development,0,1
Working,2,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Chemistry,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Drama,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Education - Youth & Social Innovation,Female,School of Education and Human Development,1,1
Working,2,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,1
Working,3,Media Studies,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,1,Media Culture & Technology,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Education - Kinesiology,Female,School of Education and Human Development,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Economics,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,1,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Nursing,Female,School of Nursing,1,0
Working,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Psychology,Female,College and Graduate School of Arts & Sciences,1,0
I am continuing my education,3,Architecture,Female,School of Architecture,0,1
Working,2,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Nursing,Female,School of Nursing,1,1
I am continuing my education,1,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,0,Chemistry,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,History,Female,College and Graduate School of Arts & Sciences,1,1
I will be volunteering,3,Political & Social Thought - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,3,Psychology,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Architecture - Landscape Architecture,Female,School of Architecture,1,1
Working,3,Spanish,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Statistics,Male,College and Graduate School of Arts & Sciences,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Architecture - Landscape Architecture,Male,School of Architecture,0,1
I am continuing my education,0,Government,Male,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,0,Engineering - Aerospace Engineering,Male,School of Engineering & Applied Science,0,0
I am continuing my education,2,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
I have accepted a fellowship,0,Chinese Language and Literature - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture,Male,School of Architecture,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Media Studies,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
Working,1,Architecture,Male,School of Architecture,1,1
I am continuing my education,0,Education - Youth & Social Innovation,Male,School of Education and Human Development,0,0
Working,1,Psychology,Male,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Music,Male,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
I am continuing my education,1,Classics,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Education - English Education,Female,School of Education and Human Development,1,0
Working,2,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Spanish,Female,College and Graduate School of Arts & Sciences,1,1
I have accepted a fellowship,3,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,0,1
Working,1,Architecture,Female,School of Architecture,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Architecture,Male,School of Architecture,0,0
Working,0,Architecture,Female,School of Architecture,1,0
Working,2,Architecture,Female,School of Architecture,1,1
Working,0,Nursing,Female,School of Nursing,1,0
Working,0,Nursing,Female,School of Nursing,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Architecture - Landscape Architecture,Female,School of Architecture,0,1
Working,1,Architecture - Urban & Environmental Planning,Female,School of Architecture,1,1
Working,1,Architecture,Female,School of Architecture,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture,Female,School of Architecture,0,1
Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,0,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,0
Working,3,Architecture,Female,School of Architecture,1,1
Working,2,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Media Studies,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Art - Art History,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,3,Spanish,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Architecture,Female,School of Architecture,1,1
Working,0,Public Safety,Male,School of Continuing and Professional Studies,1,0
Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0
Working,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Architecture,Female,School of Architecture,1,0
I am continuing my education,3,Psychology,Male,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,0,Education - Speech Communication Disorders,Female,School of Education and Human Development,0,0
I am continuing my education,2,Mathematics,Male,College and Graduate School of Arts & Sciences,0,1
Working,1,Chemistry,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,3,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,0,1
Working,2,Media Studies,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture - Urban & Environmental Planning,Male,School of Architecture,0,1
Working,2,Architecture,Female,School of Architecture,1,1
Working,2,Architecture,Male,School of Architecture,1,1
I am continuing my education,2,Sociology,Female,College and Graduate School of Arts & Sciences,0,1
I am taking a break,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,1
Working,1,Data Science,Female,School of Data Science,1,1
Working,1,Nursing,Female,School of Nursing,1,1
Working,2,Media Studies,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Anthropology,Male,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0
Working,3,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Cognitive Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,2,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,0,1
I am continuing my education,0,Chemistry,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,1,Applied Statistics,Male,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,3,Economics,Male,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Nursing,Female,School of Nursing,1,1
Working,2,Education - Youth & Social Innovation,Female,School of Education and Human Development,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Data Science,Female,School of Data Science,0,1
I am continuing my education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,2,Neuroscience - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,0,Chemistry,Male,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,1
Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Nursing,Female,School of Nursing,1,1
I am continuing my education,1,History,Male,College and Graduate School of Arts & Sciences,0,1
Working,0,Education - Administration & Supervision,Female,School of Education and Human Development,1,0
Working,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
I am continuing my education,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
Working,3,Applied Statistics,Male,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,2,Political & Social Thought - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Applied Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Education - Athletic Training,Female,School of Education and Human Development,1,0
I am continuing my education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,1,Architecture,Female,School of Architecture,0,1
Working,1,Nursing,Female,School of Nursing,1,1
Working,2,Mathematics,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Architecture,Male,School of Architecture,1,1
Working,1,Economics,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,3,History,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,American Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,3,Architecture,Female,School of Architecture,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Architecture - Landscape Architecture,Female,School of Architecture,0,1
Working,1,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
I am taking a break,1,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture - Urban & Environmental Planning,Male,School of Architecture,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,English,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Data Science,Female,School of Data Science,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Data Science,Male,School of Data Science,0,1
Working,0,Economics,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,Psychology,Female,College and Graduate School of Arts & Sciences,1,0
Working,2,Education - Kinesiology,Female,School of Education and Human Development,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,History,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,3,Architecture,Female,School of Architecture,0,1
Working,3,Interdisciplinary (SCPS-BIS),Male,School of Continuing and Professional Studies,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Nursing,Female,School of Nursing,1,1
Working,0,Nursing,Male,School of Nursing,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,French,Male,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Music,Male,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,English,Male,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,3,Government,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Architecture - Architectural History,Male,School of Architecture,0,1
Working,0,Architecture - Constructed Environment,Female,School of Architecture,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Education - Elementary Education,Female,School of Education and Human Development,0,1
Working,0,Nursing,Female,School of Nursing,1,0
Working,0,Nursing,Female,School of Nursing,1,0
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Architecture,Female,School of Architecture,0,1
I have accepted a fellowship,3,Data Science,Female,School of Data Science,0,1
I am continuing my education,0,Engineering - Computer Science,Female,School of Engineering & Applied Science,0,0
Working,0,Education - Special Education,Male,School of Education and Human Development,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Education - Reading Education,Female,School of Education and Human Development,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Education - Curriculum & Instruction,Male,School of Education and Human Development,0,0
Working,0,Data Science,Male,School of Data Science,1,0
I am continuing my education,0,Mathematics,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,0,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,0,0
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,2,Architecture - Urban & Environmental Planning,Male,School of Architecture,1,1
Working,0,Engineering - Materials Science & Engineering,Male,School of Engineering & Applied Science,1,0
Working,2,Education - Speech Communication Disorders,Female,School of Education and Human Development,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture,Male,School of Architecture,0,1
I am continuing my education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture,Female,School of Architecture,0,1
I am continuing my education,1,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,3,Media Studies,Male,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Chemistry,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Environmental Thought & Practice - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Biology,Male,College and Graduate School of Arts & Sciences,1,0
Working,1,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Working,0,Education - Special Education,Female,School of Education and Human Development,1,0
I am continuing my education,3,Education - Kinesiology,Female,School of Education and Human Development,0,1
Working,0,Neuroscience - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Nursing,Female,School of Nursing,1,0
I am continuing my education,0,Applied Statistics,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Education - Administration & Supervision,Female,School of Education and Human Development,1,1
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,American Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Data Science,Male,School of Data Science,1,0
I am continuing my education,0,Education - Kinesiology,Female,School of Education and Human Development,0,0
Working,1,Applied Statistics,Male,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture,Female,School of Architecture,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Psychology,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,2,Global Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Public Health,Female,School of Medicine,0,1
Working,2,Psychology,Male,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,0,Anthropology,Male,College and Graduate School of Arts & Sciences,0,0
Working,1,Data Science,Male,School of Data Science,1,1
I am continuing my education,2,Computer Science,Male,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,2,Education - Kinesiology,Female,School of Education and Human Development,0,1
I am continuing my education,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Education - Athletic Training,Female,School of Education and Human Development,1,1
Working,0,Psychology,Female,College and Graduate School of Arts & Sciences,1,0
I am taking a break,2,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Education - Kinesiology,Male,School of Education and Human Development,0,1
Working,0,Nursing,Female,School of Nursing,1,0
Working,1,Nursing,Male,School of Nursing,1,1
Working,0,Nursing,Female,School of Nursing,1,0
Working,1,Religious Studies,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Chemistry,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,0,Interdisciplinary (SCPS-BIS),Female,School of Continuing and Professional Studies,0,0
Working,1,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Education - Kinesiology,Female,School of Education and Human Development,1,0
Working,2,Media Studies,Female,College and Graduate School of Arts & Sciences,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Architecture - Architectural History,Male,School of Architecture,0,0
Working,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,0
I am continuing my education,1,Spanish,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Psychology,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,0,Chemistry,Male,College and Graduate School of Arts & Sciences,0,0
Working,2,Global Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,0,English,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Nursing,Female,School of Nursing,1,0
Working,3,Education - Speech Communication Disorders,Female,School of Education and Human Development,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Biology,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,1,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Aerospace Engineering,Male,School of Engineering & Applied Science,1,1
I am continuing my education,2,Media Studies,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,0,Government,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,History,Male,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,2,Education - Youth & Social Innovation,Female,School of Education and Human Development,0,1
Working,2,Nursing,Female,School of Nursing,1,1
I am continuing my education,0,Sociology,Male,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Religious Studies,Male,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Education - Kinesiology,Female,School of Education and Human Development,0,0
Working,3,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
I am continuing my education,3,Applied Statistics,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Nursing,Female,School of Nursing,1,1
I am continuing my education,1,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,0,Nursing,Female,School of Nursing,1,0
I am continuing my education,0,Chemistry,Female,College and Graduate School of Arts & Sciences,0,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Nursing,Female,School of Nursing,0,0
Working,0,Education - Youth & Social Innovation,Female,School of Education and Human Development,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Chemistry,Male,College and Graduate School of Arts & Sciences,0,0
Working,0,Nursing,Female,School of Nursing,1,0
Working,3,Government - Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Classics,Male,College and Graduate School of Arts & Sciences,1,0
Working,1,Applied Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Aerospace Engineering,Male,School of Engineering & Applied Science,1,1
I am continuing my education,2,Drama,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Health Sciences Management (SCPS),Female,School of Continuing and Professional Studies,1,0
Working,0,Data Science,Male,School of Data Science,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Data Science,Female,School of Data Science,0,1
I am continuing my education,1,History,Female,College and Graduate School of Arts & Sciences,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,3,Architecture,Female,School of Architecture,0,1
Working,1,Education - Elementary Education,Female,School of Education and Human Development,1,1
Working,0,Public Safety,Male,School of Continuing and Professional Studies,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,2,Architecture,Male,School of Architecture,0,1
Working,1,Education - Athletic Training,Female,School of Education and Human Development,1,1
I am continuing my education,0,Data Science,Female,School of Data Science,0,0
I am continuing my education,2,Physics,Male,College and Graduate School of Arts & Sciences,0,1
Working,3,Architecture,Female,School of Architecture,1,1
I am continuing my education,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,0,0
Working,0,Public Safety,Female,School of Continuing and Professional Studies,1,0
I am continuing my education,2,Education - Youth & Social Innovation,Female,School of Education and Human Development,0,1
Working,0,Nursing,Male,School of Nursing,1,0
Working,3,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Education - Curriculum & Instruction,Female,School of Education and Human Development,1,0
Working,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
Working,1,Sociology,Female,College and Graduate School of Arts & Sciences,1,1
I am continuing my education,0,History,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,1,0
Working,3,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Education - Science Education,Female,School of Education and Human Development,1,1
Working,2,Education - Elementary Education,Female,School of Education and Human Development,1,1
Working,1,Mathematics,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Education - Mathematics Education,Female,School of Education and Human Development,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture - Urban & Environmental Planning,Male,School of Architecture,0,1
Working,0,Nursing,Female,School of Nursing,1,0
I am continuing my education,2,Education - Youth & Social Innovation,Female,School of Education and Human Development,0,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
I am continuing my education,2,Applied Statistics,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,2,Environmental Sciences,Male,College and Graduate School of Arts & Sciences,0,1
Working,0,Nursing,Female,School of Nursing,1,0
Working,0,Nursing,Female,School of Nursing,1,0
Working,2,Education - Elementary Education,Female,School of Education and Human Development,1,1
Working,3,History,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Aerospace Engineering,Female,School of Engineering & Applied Science,1,1
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,0,Architecture - Architectural History,Female,School of Architecture,0,0
Working,1,Architecture - Architectural History,Female,School of Architecture,1,1
Working,0,Nursing,Female,School of Nursing,1,0
I have not finalized my plans.  I am seeking employment or acceptance to an academic program,1,Architecture - Architectural History,Female,School of Architecture,0,1
I have accepted a fellowship,1,Economics,Female,College and Graduate School of Arts & Sciences,0,1
I am continuing my education,0,Religious Studies,Male,College and Graduate School of Arts & Sciences,0,0
Working,0,Physics,Male,College and Graduate School of Arts & Sciences,1,0
Working,2,Education - Science Education,Male,School of Education and Human Development,1,1
Working,2,Architecture - Architectural History,Female,School of Architecture,1,1
Working,2,Education - Social Studies Education,Female,School of Education and Human Development,1,1
Working,0,Education - Special Education,Female,School of Education and Human Development,1,0
Working,2,Global Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
